target_name,target_classification,s_ra,s_dec,calib_level,t_min,t_exptime,classification_id
2M18035245-2421386,STAR,270.968561,-24.360737,3,56795.3884818403,2002.04,5
2M18033710-2428041,STAR,270.904592,-24.467819,3,56534.1497199074,16000.0,5
2M18035685-2418452,STAR,270.986876,-24.312572,3,56771.4445201389,8000.0,5
2M18034411-2429353,STAR,270.933801,-24.493141,3,56534.1497199074,12000.0,5
2M18040449-2417569,STAR,271.018726,-24.299164,3,56534.1497199074,16000.0,5
2M18041502-2423278,STAR,271.062606,-24.391071,3,56534.1497199074,16000.0,5
2M18030753-2429421,STAR,270.781375,-24.495031,3,56534.1497199074,16000.0,5
2M18042127-2421182,STAR,271.08864,-24.355082,3,56534.1497199074,16000.0,5
2M18042802-2421429,STAR,271.116774,-24.361919,3,56771.4445201389,8000.0,5
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9208333333,-24.38222222222,3,58163.87424357,2400.0,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9208333333,-24.38222222222,3,58163.90518098,300.0,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9208333333,-24.38222222222,3,58163.88525061,2100.0,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9208333333,-24.38222222222,3,58163.89520431,2100.0,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9208333333,-24.38222222222,3,58163.87424357,6900.0,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9208333333,-24.38222222222,3,58167.6558004,1198.463134,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9208333333,-24.38222222222,3,58167.64855484,1198.463134,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9208333333,-24.38222222222,3,58167.64855484,2396.926268,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9208333333,-24.38222222222,3,58164.08102003,4793.852536,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9208333333,-24.38222222222,3,58164.08102003,4793.852536,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9208333333,-24.38222222222,3,58164.07377484,4793.852536,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9208333333,-24.38222222222,3,58164.07377484,4793.852536,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9208333333,-24.38222222222,3,58161.75472987,9600.0,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9208333333,-24.38222222222,3,58161.78566727,1200.0,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9208333333,-24.38222222222,3,58161.76573653,8400.0,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9208333333,-24.38222222222,3,58161.77569024,8400.0,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9208333333,-24.38222222222,3,58164.60818447,3595.389402,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9208333333,-24.38222222222,3,58164.60818447,3595.389402,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9208333333,-24.38222222222,3,58164.60093929,3595.389402,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9208333333,-24.38222222222,3,58164.60093929,3595.389402,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9208333333,-24.38222222222,3,58161.75472987,9600.0,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9208333333,-24.38222222222,3,58161.78566727,1200.0,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9208333333,-24.38222222222,3,58161.76573653,8400.0,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9208333333,-24.38222222222,3,58161.77569024,8400.0,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.89160681,-24.381873842,3,58163.8952043171,2100.0,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.8954423807,-24.38417158912,3,58167.6485548264,1198.463134,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.8954423807,-24.38417158912,3,58167.6558004282,1198.463134,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9208333333,-24.38222222222,3,58162.81442876,6900.0,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9208333333,-24.38222222222,3,58162.82543579,2100.0,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9208333333,-24.38222222222,3,58162.81442876,2400.0,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9208333333,-24.38222222222,3,58162.84536616,300.0,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9208333333,-24.38222222222,3,58162.8353895,2100.0,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9204631478,-24.40704551564,3,58162.8144287847,2400.0,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9204631478,-24.40704551564,3,58162.845366169,300.0,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9204631478,-24.40704551564,3,58162.8254357986,2100.0,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9204631478,-24.40704551564,3,58162.8353895023,2100.0,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9208333333,-24.38222222222,3,58161.75472987,9600.0,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9208333333,-24.38222222222,3,58161.84890802,1100.0,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9208333333,-24.38222222222,3,58161.76573653,8400.0,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9208333333,-24.38222222222,3,58161.77569024,8400.0,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9208333333,-24.38222222222,3,58164.08102003,4793.852536,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9208333333,-24.38222222222,3,58164.07377484,4793.852536,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9208333333,-24.38222222222,3,58164.07377484,4793.852536,2
M8,ISM-EMISSION-LINE-NEBULA-HII-REGION-STAR-FORMING-REGION,270.9208333333,-24.38222222222,3,58164.08102003,4793.852536,2
